year,km driven,fuel type,seller type,transmission,owner,seats,max_power (in bph),Mileage,Engine (CC),selling price
2009,50000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,229999
2011,60000,Diesel,Individual,Manual,2,5,73.9,21.1,1248,250000
2010,50000,Diesel,Individual,Manual,2,5,68,20,1399,144000
2014,38000,Diesel,Individual,Manual,1,5,74,22.1,1248,260000
2015,120000,Diesel,Individual,Manual,1,5,67.05,23.59,1364,475000
2011,103000,Diesel,Individual,Manual,3,5,68,20,1399,302000
2015,50000,Diesel,Individual,Manual,1,7,88.76,20.77,1248,700000
2017,70000,Diesel,Individual,Manual,1,5,108.5,21.5,1497,869999
2018,60000,Diesel,Individual,Manual,1,5,88.76,22.54,1396,850000
2006,90000,Petrol,Individual,Manual,1,5,46.3,19.7,796,160000
2015,50000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,310000
2015,68000,Petrol,Individual,Manual,2,5,81.8,20.4,1197,405000
2007,100000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,135000
2018,17500,Petrol,Individual,Manual,1,5,67.04,20.51,998,400000
2016,25000,Petrol,Individual,Manual,1,5,67.04,20.51,998,350000
2012,60000,Petrol,Individual,Manual,2,5,46.3,19.7,796,185000
2013,38000,Diesel,Individual,Manual,1,5,73.9,22.07,1199,550000
2016,92000,Diesel,Individual,Manual,1,7,98.6,21.9,1498,900000
2018,10000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,625000
2012,100000,Diesel,Individual,Manual,2,5,90,21.9,1396,290000
2015,28000,Petrol,Individual,Manual,2,5,47.3,22.74,796,280000
2017,120000,Diesel,Individual,Manual,1,5,83.8,19.87,1461,650000
2014,50000,Diesel,Individual,Manual,1,5,74,23.4,1248,650000
2015,26000,Petrol,Individual,Manual,1,5,91.1,20.73,1373,650000
2019,20000,Petrol,Individual,Automatic,1,5,81.8,22,1197,700000
2016,40000,Diesel,Individual,Manual,1,5,83.8,19.87,1461,515000
2020,5000,Petrol,Individual,Manual,1,5,81.8,21.01,1197,630000
2016,40000,Petrol,Individual,Manual,1,5,47.3,22.74,796,300000
2005,100000,Petrol,Individual,Manual,4,5,46.3,19.7,796,90000
2019,4701,Petrol,Trustmark Dealer,Manual,1,5,81.86,20.7,1197,550000
2016,6757,Petrol,Trustmark Dealer,Manual,1,5,81.8,21.01,1197,600000
2014,43381,Petrol,Dealer,Manual,2,5,47.3,22.74,796,200000
2014,50000,Diesel,Individual,Manual,2,5,88.73,21.79,1248,425000
2018,20000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,575000
2015,63000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,600000
2018,30000,Petrol,Individual,Manual,1,5,67,23.01,999,350000
2017,12700,Petrol,Individual,Manual,1,5,67.04,20.51,998,400000
2018,35000,Diesel,Individual,Manual,1,5,108.5,21.5,1497,700000
2008,90000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,165000
2005,49455,Petrol,Individual,Manual,1,5,46.3,19.7,796,180000
2016,100000,Petrol,Individual,Manual,1,5,55.2,21.1,814,220000
2013,120000,Diesel,Individual,Manual,1,5,74,22.3,1248,120000
2013,46815,Diesel,Individual,Manual,2,5,76.9,22.1,1248,420000
2015,80000,Petrol,Individual,Manual,1,5,55.2,21.1,814,250000
2013,100000,Diesel,Individual,Manual,3,7,88.8,20.77,1248,385000
2014,80000,Petrol,Individual,Manual,1,5,67.06,20.51,998,318000
2018,40000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,480000
2015,70000,Petrol,Individual,Manual,3,5,67.04,23.1,998,330000
2014,40000,Petrol,Individual,Manual,1,5,47.3,22.74,796,250000
2016,30000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,650000
2011,80000,Diesel,Individual,Manual,2,5,68,20,1399,200000
2008,60000,Petrol,Individual,Automatic,3,5,108.5,20,1339,250000
2018,20000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,560000
2016,30000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,500000
2013,69000,Diesel,Individual,Manual,3,5,126.32,22.32,1582,420000
2015,25000,Petrol,Individual,Manual,2,5,83.14,20.85,1197,434999
2020,5000,Petrol,Individual,Automatic,1,5,81.86,20.7,1197,675000
2009,90000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,170000
2017,90000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,1250000
2011,89000,Diesel,Individual,Manual,2,5,73.9,21.1,1248,270000
2013,80000,Diesel,Individual,Manual,1,5,74,23.4,1248,480000
2016,40000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,700000
2015,110000,Diesel,Individual,Manual,3,7,88.76,20.77,1248,650000
2015,48000,Diesel,Individual,Manual,2,5,126.2,19.67,1582,1300000
2016,60000,Diesel,Individual,Automatic,1,5,108.6,22.15,1498,1000000
2012,40000,Petrol,Individual,Manual,1,5,55.2,21.1,814,170000
2016,65000,Petrol,Individual,Manual,2,5,47.3,22.74,796,260000
2014,120000,Diesel,Individual,Manual,2,5,67.04,23.59,1364,400000
2017,35000,Diesel,Individual,Manual,1,5,108.5,21.5,1497,830000
2017,60000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,850000
2017,70000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,650000
2019,20000,Petrol,Individual,Automatic,1,5,81.8,20.89,1197,525000
2015,108000,Diesel,Individual,Manual,1,5,88.73,21.19,1396,600000
2019,15000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,500000
2015,18500,Petrol,Individual,Manual,1,5,67.04,20.51,998,409999
2011,80000,Diesel,Individual,Manual,1,5,126.32,22.32,1582,475000
2013,70000,Petrol,Individual,Manual,1,5,55.2,21.1,814,190000
2011,70000,Diesel,Individual,Manual,1,5,68,20,1399,225000
2011,90000,Diesel,Individual,Manual,3,5,90,23,1396,350000
2014,50000,Petrol,Individual,Manual,1,5,47.3,22.74,796,240000
2012,120000,Petrol,Individual,Manual,2,8,35,19.7,796,80000
2019,15000,Diesel,Individual,Manual,1,5,74,22.95,1248,650000
2011,35000,Petrol,Individual,Manual,2,5,67.1,20.92,998,210000
2008,80000,Petrol,Individual,Manual,2,5,46.3,19.7,796,110000
2017,25000,Diesel,Individual,Manual,1,5,108.5,21.5,1497,665000
2017,52000,Diesel,Individual,Manual,1,5,108.62,21.66,1498,555000
2017,52000,Diesel,Individual,Manual,1,5,108.62,21.66,1498,560000
2011,116500,Diesel,Individual,Manual,1,5,90,23,1396,350000
2019,100000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,525000
2016,145000,Diesel,Individual,Manual,2,5,67.05,23.59,1364,570000
2011,90000,Diesel,Individual,Manual,2,5,68,20,1399,225000
2019,90000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,590000
2013,58000,Diesel,Individual,Manual,1,5,74,23.4,1248,520000
2013,40000,Petrol,Individual,Manual,1,5,55.2,21.1,814,200000
2014,90000,Diesel,Individual,Manual,2,5,73.94,23.2,1248,325000
2015,50000,Petrol,Individual,Manual,2,5,67.04,20.51,998,350000
2011,80000,Diesel,Individual,Manual,3,5,126.3,22.32,1582,440000
2011,70000,Diesel,Individual,Manual,2,5,90,21.9,1396,320000
2014,113226,Diesel,Dealer,Manual,1,5,67,19.68,1399,350000
2013,90000,Diesel,Individual,Manual,2,5,68.1,20,1399,310000
2014,132000,Diesel,Individual,Manual,2,5,108.45,19.72,1461,560000
2013,120000,Diesel,Individual,Manual,3,5,74,22.9,1248,470000
2018,5000,Petrol,Individual,Manual,1,5,81.8,22,1197,550000
2015,80000,Diesel,Individual,Manual,2,5,126.2,19.67,1582,899000
2017,43000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,500000
2015,40000,Petrol,Individual,Manual,2,5,47.3,22.74,796,220000
2011,70000,Petrol,Individual,Manual,3,5,46.3,19.7,796,170000
2016,20000,Petrol,Individual,Manual,1,5,67.04,20.51,998,465000
2012,16830,Petrol,Individual,Manual,1,5,67.1,20.2,998,260000
2017,38000,Petrol,Individual,Manual,1,5,67,23.01,999,325000
2016,30000,Petrol,Individual,Manual,1,5,55.2,21.1,814,340000
2012,35000,Diesel,Individual,Manual,1,5,69,23.03,1396,259000
2010,120000,Diesel,Individual,Manual,1,5,88.8,21.12,1248,210000
2012,90000,Diesel,Individual,Manual,1,5,69,23.03,1396,220000
2012,35000,Diesel,Individual,Manual,2,5,69,23.03,1396,246000
2018,70000,Diesel,Individual,Manual,1,5,88.7,21.38,1396,1050000
2016,20000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,550000
2018,16589,Petrol,Trustmark Dealer,Manual,1,5,67.04,20.51,998,430000
2017,25272,Petrol,Trustmark Dealer,Manual,1,5,81.8,21.01,1197,570000
2018,12000,Diesel,Individual,Manual,1,5,108.45,19.6,1461,1250000
2017,40000,Diesel,Individual,Manual,2,5,88.73,22.54,1396,750000
2004,60000,Petrol,Individual,Manual,2,5,46.3,19.7,796,118000
2013,80000,Diesel,Individual,Manual,2,5,83.8,20.46,1461,585000
2006,120000,Petrol,Individual,Manual,4,5,46.3,19.7,796,120000
2006,100000,Petrol,Individual,Manual,2,5,46.3,19.7,796,150000
2009,70000,Petrol,Individual,Manual,4,5,46.3,19.7,796,150000
2013,60000,Diesel,Individual,Manual,2,7,88.76,20.77,1248,599000
2016,90000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,570000
2013,75000,Diesel,Individual,Manual,2,5,73.9,22.07,1199,440000
2018,35000,Petrol,Individual,Manual,1,5,67,23.01,999,409999
2011,84321,Diesel,Individual,Manual,1,5,70,23.57,1396,200000
2008,70000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,215000
2015,45000,Petrol,Individual,Manual,2,5,83.14,20.85,1197,515000
2017,60000,Petrol,Individual,Manual,1,5,68.05,20.3,998,300000
2012,40000,Diesel,Individual,Manual,1,5,68,20,1399,250000
2011,110000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,210000
2007,88700,Petrol,Individual,Manual,3,5,46.3,19.7,796,130000
2016,15000,Petrol,Individual,Manual,1,5,47.3,22.74,796,310000
2012,80000,Diesel,Individual,Manual,2,5,65,20.8,1461,200000
2018,15000,Petrol,Individual,Manual,1,5,55.2,21.1,814,444000
2011,57000,Diesel,Individual,Manual,2,5,64.1,21,1461,225000
2010,120000,Petrol,Individual,Manual,2,5,46.3,19.7,796,150000
2014,50000,Petrol,Individual,Manual,2,5,46.3,19.7,796,110000
2012,40000,Petrol,Individual,Manual,1,5,46.3,19.7,796,225000
2014,90000,Diesel,Individual,Manual,1,7,88.8,20.77,1248,650000
2011,100000,Diesel,Individual,Manual,1,5,68,20,1399,220000
2017,34000,Diesel,Individual,Automatic,1,5,108.495,22,1498,625000
2018,30000,Petrol,Individual,Manual,1,5,67.04,21.63,998,475000
2018,7000,Petrol,Dealer,Manual,1,5,68,20.3,1086,540000
2019,4875,Petrol,Dealer,Manual,1,5,67.04,21.63,998,484999
2017,26766,Diesel,Dealer,Manual,1,5,108.5,21.5,1497,919999
2017,24522,Petrol,Dealer,Manual,1,5,81.8,20.4,1197,600000
2018,30000,Petrol,Individual,Manual,1,5,67,23.01,999,330000
2012,90000,Diesel,Individual,Manual,1,5,68,20,1399,300000
2013,160000,Diesel,Individual,Manual,3,7,88.76,20.77,1248,625000
2017,5000,Diesel,Individual,Manual,1,5,86.79,21.43,1364,1594000
2018,27620,Diesel,Dealer,Manual,1,5,98.59,22.77,1498,950000
2017,40000,Petrol,Individual,Automatic,1,5,81.8,20.89,1197,550000
2009,110000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,150000
2016,80000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,511000
2020,25000,Petrol,Individual,Manual,1,5,67.04,21.63,998,420000
2014,55000,Petrol,Individual,Manual,1,5,47.3,22.74,796,180000
2013,100000,Diesel,Individual,Manual,1,5,74,23.4,1248,525000
2013,100000,Diesel,Individual,Manual,1,5,74,23.4,1248,550000
2012,138000,Diesel,Individual,Manual,1,5,126.32,22.32,1582,400000
2016,50000,Petrol,Individual,Manual,1,5,47.3,22.74,796,245000
2013,189000,Diesel,Individual,Manual,1,5,88.76,21.02,1248,260000
2014,90000,Diesel,Individual,Automatic,2,5,103.2,21.21,1498,411000
2014,56000,Diesel,Individual,Manual,1,5,88.76,21.9,1396,450000
2016,60000,Petrol,Individual,Manual,1,5,67.04,23.1,998,351000
2013,90000,Petrol,Individual,Manual,1,5,47.3,22.74,796,200000
2017,20000,Petrol,Individual,Manual,2,5,55.2,21.1,814,350000
2019,15000,Petrol,Individual,Manual,1,5,81.8,20.89,1197,500000
2012,30000,Petrol,Individual,Manual,1,5,47.3,22.74,796,254999
2011,60000,Petrol,Individual,Manual,1,5,46.3,19.7,796,180000
2015,49900,Petrol,Individual,Manual,2,5,47.3,22.74,796,270000
2012,86000,Diesel,Individual,Manual,1,5,88.8,21.12,1248,310000
2011,35000,Petrol,Individual,Manual,1,5,55.2,21.1,814,180000
2015,50000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,550000
2015,145000,Diesel,Individual,Manual,1,5,126.2,22.7,1582,900000
2016,110000,Diesel,Individual,Manual,1,5,73.94,23.2,1248,475000
2016,80000,Petrol,Individual,Manual,1,5,67.04,20.51,998,390000
2010,75000,Petrol,Individual,Manual,2,5,46.3,19.7,796,170000
2012,80000,Petrol,Individual,Manual,2,5,55.2,21.1,814,195000
2015,75000,Diesel,Dealer,Manual,1,5,83.8,19.87,1461,484999
2018,22000,Petrol,Individual,Manual,2,5,103.25,21.56,1462,650000
2013,80000,Diesel,Individual,Manual,1,5,73.9,22.07,1199,350000
2016,50000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,650000
2015,60000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,822000
2012,50000,Diesel,Individual,Manual,2,5,74,22.9,1248,330000
2014,74537,Petrol,Individual,Manual,2,5,67.04,20.51,998,300000
2019,11000,Petrol,Individual,Manual,1,5,67,21.63,998,500000
2016,110000,Diesel,Individual,Manual,1,5,88.7,23,1248,360000
2012,48000,Petrol,Individual,Manual,1,5,67.1,20.92,998,252000
2012,70000,Diesel,Individual,Manual,2,5,74,22.9,1248,280000
2018,70000,Petrol,Individual,Manual,2,5,81.8,22,1197,509999
2011,100000,Diesel,Individual,Manual,2,5,74,22.9,1248,235000
2010,80000,Petrol,Individual,Manual,3,5,68.05,19.81,1086,131000
2013,50000,Petrol,Individual,Manual,1,5,47.3,22.74,796,200000
2012,70000,Diesel,Individual,Manual,3,5,74,22.9,1248,380000
2008,19000,Petrol,Individual,Manual,1,5,46.3,19.7,796,128000
2016,25000,Petrol,Individual,Manual,1,5,67.04,23.1,998,400000
2012,29500,Petrol,Individual,Manual,1,5,67.1,20.92,998,200000
2016,50000,Petrol,Individual,Manual,2,5,47.3,22.74,796,300000
2012,100000,Petrol,Individual,Manual,1,5,47.3,22.74,796,220000
2016,60000,Diesel,Individual,Manual,2,5,88.73,22.54,1396,595000
2017,30000,Petrol,Individual,Manual,2,5,83.1,21.4,1197,530000
2018,10000,Petrol,Individual,Manual,1,5,55.2,21.1,814,325000
2018,10000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,550000
2018,25000,Petrol,Individual,Manual,1,5,91.1,20.73,1373,720000
2013,60000,Diesel,Individual,Manual,1,5,74,22.9,1248,350000
2018,60000,Diesel,Individual,Manual,1,5,108.5,21.5,1497,790000
2019,17000,Diesel,Individual,Manual,1,5,115,20,1497,950000
2017,50000,Petrol,Individual,Manual,1,5,67.04,20.51,998,400000
2012,110000,Diesel,Individual,Manual,1,5,65,21.03,1461,260000
2012,90000,Diesel,Individual,Manual,1,5,70,23.57,1396,200000
2020,70000,Petrol,Individual,Manual,1,5,88.5,23.26,1197,580000
2011,66000,Diesel,Individual,Manual,2,5,105,20.5,1598,330000
2014,50000,Diesel,Individual,Manual,2,5,65,21.03,1461,250000
2013,70000,Diesel,Individual,Manual,1,5,74,23.4,1248,300000
2015,80000,Petrol,Individual,Manual,1,5,47.3,22.74,796,280000
2018,24400,Petrol,Individual,Manual,1,5,81.8,22,1197,550000
2011,100000,Petrol,Individual,Manual,2,5,46.3,19.7,796,130000
2013,70000,Diesel,Individual,Manual,1,5,68.1,20,1399,229999
2016,35000,Petrol,Individual,Manual,2,5,47.3,22.74,796,225000
2017,30000,Petrol,Individual,Manual,1,5,67.04,20.51,998,420000
2010,120000,Petrol,Individual,Manual,3,8,35,19.7,796,130000
2006,30000,Petrol,Individual,Manual,2,5,46.3,19.7,796,120000
2019,3000,Petrol,Individual,Manual,1,5,81.8,20.89,1197,577000
2012,50000,Petrol,Individual,Manual,1,5,67.1,20.92,998,229999
2017,74000,Diesel,Individual,Manual,1,5,108.6,22.27,1498,900000
2016,110000,Petrol,Individual,Manual,1,5,55.2,21.1,814,250000
2016,70000,Diesel,Individual,Manual,1,5,88,20.14,1498,550000
2019,10000,Petrol,Individual,Manual,1,5,81.8,20.52,1197,490000
2009,80000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,150000
2013,184000,Diesel,Individual,Manual,1,7,88.76,20.77,1248,600000
2013,69000,Diesel,Individual,Manual,2,5,74,22.9,1248,525000
2017,8000,Petrol,Individual,Manual,1,5,55.2,21.1,814,300000
2020,120000,Petrol,Individual,Manual,2,5,67,21.63,998,250000
2016,70000,Petrol,Individual,Manual,1,5,67.04,20.51,998,350000
2007,57000,Petrol,Individual,Manual,1,5,46.3,19.7,796,135000
2018,60000,Diesel,Individual,Manual,1,5,88.7,22.1,1396,946000
2011,70000,Diesel,Individual,Manual,1,5,69,23.03,1396,215000
2008,35000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,220000
2011,46000,Petrol,Individual,Manual,2,5,46.3,19.7,796,195000
2010,80000,Petrol,Individual,Manual,4,5,46.3,19.7,796,125000
2015,16700,Petrol,Individual,Manual,1,5,47.3,22.74,796,275000
2015,7967,Petrol,Individual,Manual,1,5,83.14,20.85,1197,600000
2018,20000,Petrol,Individual,Manual,1,5,81.8,22,1197,720000
2011,50000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,225000
2013,50000,Diesel,Individual,Manual,1,5,88.7,23.5,1396,550000
2019,5000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,610000
2016,68609,Diesel,Dealer,Manual,1,5,89.84,22.7,1498,515000
2018,33360,Diesel,Dealer,Manual,1,5,98.59,22.77,1498,925000
2012,87237,Diesel,Dealer,Manual,2,5,68.05,20,1399,225000
2017,26634,Petrol,Dealer,Automatic,1,5,81.8,21.21,1197,600000
2015,67303,Diesel,Dealer,Manual,1,5,83.8,20.45,1461,600000
2012,130376,Diesel,Dealer,Manual,2,5,73.94,23.2,1248,265000
2013,110000,Diesel,Individual,Manual,1,5,74,23.4,1248,525000
2017,30000,Petrol,Individual,Manual,1,5,84,20.3,1199,550000
2010,70000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,200000
2014,60000,Petrol,Individual,Manual,2,5,55.2,21.1,814,200000
2010,94000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,210000
2019,35000,Diesel,Individual,Manual,1,5,74,22.95,1248,660000
2012,60000,Diesel,Individual,Manual,3,5,126.32,22.32,1582,450000
2015,90000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,978999
2012,60000,Diesel,Individual,Manual,2,5,88.7,23.5,1498,280000
2013,60000,Petrol,Individual,Manual,4,5,47.3,22.74,796,170000
2019,4000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,630000
2011,50000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,250000
2009,70000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,180000
2014,23000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,348000
2014,60000,Petrol,Individual,Manual,2,5,47.3,22.74,796,196000
2015,90000,Diesel,Individual,Manual,3,7,88.76,20.77,1248,600000
2007,53512,Petrol,Dealer,Manual,2,5,46.3,19.7,796,120000
2017,90000,Petrol,Individual,Manual,1,5,67,23.01,999,265000
2007,78000,Petrol,Individual,Manual,1,5,46.3,19.7,796,130000
2010,70000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,180000
2010,48000,Petrol,Individual,Manual,2,5,46.3,19.7,796,160000
2014,80000,Diesel,Individual,Manual,1,5,83.8,20.45,1461,480000
2013,100000,Diesel,Individual,Manual,3,5,74,22.9,1248,320000
2013,96000,Diesel,Individual,Manual,2,5,74,22.9,1248,370000
2016,60000,Diesel,Individual,Manual,3,5,73.94,23.2,1248,400000
2014,48000,Petrol,Individual,Manual,1,5,67.04,23.1,998,325000
2012,70000,Petrol,Individual,Manual,2,5,67.1,20.92,998,200000
2008,70000,Petrol,Individual,Manual,3,5,46.3,19.7,796,100000
2006,150000,Petrol,Individual,Manual,2,5,46.3,19.7,796,85000
2014,56000,Diesel,Individual,Manual,1,5,126.3,22.32,1582,580000
2010,120000,Diesel,Individual,Manual,1,5,68,20,1399,200000
2012,73000,Diesel,Individual,Manual,1,7,88.76,20.77,1248,520000
2018,5000,Petrol,Individual,Manual,1,5,67,23.01,999,380000
2013,95000,Diesel,Individual,Manual,1,5,83.8,20.46,1461,490000
2015,34000,Petrol,Individual,Manual,2,5,55.2,21.1,814,229999
2014,31000,Diesel,Individual,Manual,1,5,67.06,23.59,1364,550000
2019,5000,Petrol,Individual,Automatic,1,5,68,20.3,1086,499000
2012,120000,Diesel,Individual,Manual,2,5,67.1,23.59,1364,278000
2013,67000,Diesel,Individual,Manual,2,5,108.5,20.4,1461,580000
2018,7000,Petrol,Individual,Manual,1,5,68,20.3,1086,490000
2012,120000,Diesel,Individual,Manual,2,5,74,22.9,1248,320000
2013,120000,Diesel,Individual,Manual,1,5,73.94,23.2,1248,320000
2012,85000,Diesel,Individual,Manual,1,5,87.2,21.43,1364,600000
2012,50000,Petrol,Individual,Manual,1,5,67.1,20.92,998,275000
2009,59000,Petrol,Individual,Manual,2,5,46.3,19.7,796,170000
2015,140000,Diesel,Individual,Manual,2,5,83.8,20.45,1461,620000
2015,40000,Diesel,Individual,Manual,1,5,67.04,23.59,1364,550000
2011,100000,Diesel,Individual,Manual,2,5,126.32,22.32,1582,400000
2012,110000,Diesel,Individual,Manual,2,5,88.8,21.12,1248,300000
2011,92500,Petrol,Individual,Manual,2,5,67.1,20.92,998,190000
2018,35000,Petrol,Individual,Manual,1,5,81.8,22,1197,650000
2015,120000,Diesel,Individual,Manual,1,5,126.2,22.7,1582,869999
2013,70000,Diesel,Individual,Manual,1,5,76.9,22.1,1248,200000
2018,53000,Diesel,Individual,Manual,1,5,88,20.14,1498,650000
2018,70000,Petrol,Individual,Manual,1,5,68.05,20.3,998,330000
2019,4000,Petrol,Individual,Manual,1,5,68,20.3,1086,399000
2012,103000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,250000
2013,77000,Diesel,Individual,Manual,1,5,74,22.9,1248,375000
2012,90000,Diesel,Individual,Manual,1,5,103.6,20.54,1598,375000
2013,87185,Diesel,Individual,Manual,2,5,126.3,22.32,1582,445000
2016,77000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,611000
2012,100000,Diesel,Individual,Manual,2,5,126.32,22.32,1582,390000
2015,125000,Diesel,Individual,Manual,1,5,67.05,23.59,1364,500000
2013,80000,Petrol,Individual,Manual,2,5,47.3,22.74,796,185000
2018,30000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,550000
2010,42000,Diesel,Individual,Manual,1,5,69,23.03,1396,320000
2016,17000,Petrol,Individual,Automatic,1,5,67.04,23.1,998,350000
2018,40000,Petrol,Individual,Automatic,1,5,81.8,22,1197,500000
2012,70000,Diesel,Individual,Manual,2,5,88.8,21.5,1248,350000
2019,27000,Diesel,Individual,Manual,1,5,88.7,21.38,1396,1050000
2014,50000,Diesel,Individual,Manual,1,5,74,23.4,1248,490000
2013,60000,Petrol,Individual,Manual,2,5,47.3,22.74,796,190000
2016,60000,Petrol,Individual,Manual,2,5,47.3,22.74,796,270000
2008,70000,Petrol,Individual,Manual,3,5,68.05,19.81,1086,170000
2018,25000,Petrol,Individual,Manual,1,5,91.1,20.73,1373,764000
2017,31000,Petrol,Individual,Manual,2,5,55.2,21.1,814,280000
2011,110000,Diesel,Individual,Manual,2,5,103.6,20.54,1598,350000
2017,35000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,570000
2014,10300,Petrol,Individual,Manual,1,5,47.3,22.74,796,185000
2019,3000,Petrol,Individual,Manual,1,5,81.8,21.01,1197,760000
2018,13000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,700000
2016,40000,Petrol,Individual,Manual,1,5,47.3,22.74,796,220000
2017,80000,Diesel,Individual,Manual,1,5,88.73,21.19,1396,650000
2012,125000,Diesel,Individual,Manual,2,5,87.2,21.43,1364,415000
2012,110000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,225000
2013,30000,Diesel,Individual,Manual,2,7,88.76,20.77,1248,600000
2014,148000,Diesel,Individual,Manual,2,7,88.8,20.77,1248,620000
2014,60000,Diesel,Individual,Manual,2,5,88.7,23,1248,280000
2012,60000,Diesel,Individual,Manual,1,5,74,22.9,1248,370000
2020,15000,Petrol,Individual,Manual,1,5,88.5,23.26,1197,550000
2017,42000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,385000
2013,170000,Diesel,Individual,Manual,3,7,88.76,20.77,1248,650000
2012,80000,Petrol,Individual,Manual,1,5,47.3,22.74,796,180000
2013,57000,Petrol,Individual,Manual,1,5,55.2,21.1,814,200000
2014,100000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,300000
2014,40000,Petrol,Individual,Manual,1,5,47.3,22.74,796,267000
2017,50000,Petrol,Individual,Manual,1,5,55.2,21.1,814,250000
2009,100000,Petrol,Individual,Manual,1,5,46.3,19.7,796,135000
2011,80000,Diesel,Individual,Manual,1,5,126.32,22.32,1582,500000
2008,80000,Petrol,Individual,Manual,3,5,46.3,19.7,796,112999
2012,150000,Diesel,Individual,Manual,1,5,68,20,1399,325000
2017,22200,Diesel,Individual,Manual,1,5,88.73,22.54,1396,650000
2016,32000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,500000
2016,120000,Diesel,Individual,Manual,1,5,83.8,19.87,1461,645000
2011,10000,Petrol,Individual,Manual,1,5,46.3,19.7,796,114999
2018,10000,Petrol,Individual,Manual,1,5,81.8,20.89,1197,575000
2016,80000,Diesel,Individual,Manual,1,5,108.45,19.72,1461,650000
2009,150000,Diesel,Individual,Manual,3,5,73.9,21.1,1248,145000
2013,56000,Diesel,Dealer,Manual,1,5,74,22.1,1248,246000
2015,43001,Diesel,Dealer,Manual,1,5,108.6,22.27,1498,560000
2019,9000,Petrol,Dealer,Automatic,1,5,67.04,21.63,998,470000
2017,35000,Diesel,Individual,Manual,3,5,126.2,22,1582,850000
2013,100600,Diesel,Individual,Manual,3,5,83.8,20.46,1461,550000
2013,105000,Diesel,Individual,Manual,3,5,74,23.4,1248,480000
2010,60000,Petrol,Individual,Manual,2,5,85.8,21.1,1197,320000
2016,120000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,725000
2011,134000,Diesel,Individual,Manual,2,5,73.9,22.07,1199,325000
2014,120000,Diesel,Individual,Manual,3,5,68.05,20,1399,320000
2016,120000,Diesel,Individual,Manual,3,5,73.94,23.2,1248,350000
2011,89000,Diesel,Individual,Manual,1,5,90,23,1396,470000
2018,28000,Petrol,Individual,Automatic,1,5,81.8,21.21,1197,680000
2014,90000,Petrol,Individual,Manual,1,5,55.2,21.1,814,280000
2013,120000,Diesel,Individual,Manual,2,5,103.6,20.54,1598,400000
2014,83000,Diesel,Individual,Manual,2,5,88.73,22.54,1396,475000
2018,75000,Petrol,Individual,Manual,1,5,84,20.3,1199,450000
2017,52000,Petrol,Individual,Manual,1,5,67,21.63,998,400000
